Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9
--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     73 | (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 (3380.0,1044.0)=10304 
     74 | (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 (775.0,2107.0)=10190 
     75 | (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 (636.0,1828.0)=10185 
     76 | (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 (615.0,656.0)=10134 
     77 | (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 (3048.0,1043.0)=10110 
     78 | (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 (606.0,687.0)=10062 
     79 | (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 (817.0,2113.0)=10059 
     80 | (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 (1396.0,257.0)=10021 
     81 | (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 (194.0,193.0)=10015 
     82 | (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 (459.0,349.0)= 9964 
     83 | (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 (539.0,2125.0)= 9870 
     84 | ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 ( 73.0,907.0)= 9851 
     85 | (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 (269.0,1253.0)= 9850 
     86 | (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 (1248.0,2010.0)= 9807 
     87 | (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 (538.0,2045.0)= 9803 
